"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"More products","More products"
"Search Pro","Search Pro"
General,General
"Popup width (px)","Popup width (px)"
"Min characters","Min characters"
"Recent Searches","Recent Searches"
Enabled,Enabled
"Show on first click","Show on first click"
Title,Title
Position,Position
"Max Results","Max Results"
"Popular Searches","Popular Searches"
Categories,Categories
"Name Length","Name Length"
"Description Length","Description Length"
"СMS Pages","СMS Pages"
"Content Heading Length","Content Heading Length"
"Content Length","Content Length"
Products,Products
"Show reviews","Show reviews"
"Enable ""Add to Cart"" button","Enable ""Add to Cart"" button"
"Custom Layout","Custom Layout"
Border,Border
Hover,Hover
Highlight,Highlight
Background,Background
Text,Text
"Hover Text","Hover Text"
"Amasty: Search Pro - Categories","Amasty: Search Pro - Categories"
"Rebuild fulltext search index","Rebuild fulltext search index"
